,file,artist,title,lyrics
0,TRAAAAW128F429D538.h5,Casual,I Didn't Mean To,"Verse One:

All right I might
Have had a little glare when I stared at ya ho
But I didn't know she was like that
She stared right back
My niggas warnin me that she was comin' on to me
I react like a mack do I act cool
Just to test her 'cause I ain't no jester
I suggest her and her friend be outtie
'Cause I don't want to make my pals get rowdy
And doubt me our friendship
But when lips touch
I go crazy in the clutch
Sorta like schitzo I forgets my bros and pals over gals
I didn't mean to but when you fiend you do
Strange things for the denim no matter who's in em
Grab a flooze then I'm in traffic
Don't laugh it might be your girl that I'm talkin' about
I didn't mean to

Chorus: Repeat 2X

It ain't my fault that your girl got caught
It ain't my fault that your girl got caught (I didn't mean to)

Verse Two:

Another incident when I went
Way beyond what I should have done
John should of stopped before them drawers dropped
But I didn't ain't no quittin
Really didn't care who's girl I was hittin
I admit skinz ain't a reason to lose friends
But then again I didn't know, sorry
Accept apologies and live on
Are we goin' hold grudges well oh fudge
It's a new year and I do fear
Ya actions ya actin' shy
I mean ya need to be smackin
That hoe
Instead of tryin' to front on me ya know
That's exactly how I'm goin' to be ya know
I run my game on any G ya know
'Cause we the most entertainin
I meant to blame women
For makin' me do what the Ak seem to
When you call I screen you
I didn't mean to


Verse Three:

Why do fools be schememin dreamin'
Actin' like demons
Niggas don't give a fuck
Because they beat shit
To many girls front cute
When they want loot
They tell lies the swell guys
Can peep it and that's weak shit
That's why I run game on every freak I get
Born in Oakland grew up pumpin Too Short
I know the rules on the flooze so who's short
I once had a ho who smoked blunts yo
She tried to get me so I looked at the front door
And now she's not with me so forget it
But every once in a while I'll hit it
And it happened to be your girl
I didn't mean to and I been through
Your relationship and I hate dumb dips
But I really can't trip when they ride my tip
I didn't mean to"
1,TRAAABD128F429CF47.h5,The Box Tops,Soul Deep,"Darling, I don't know much
But I know I love you so much
My life depends on your touch

And my love is a river running soul deep
Way down inside me, it's-a soul deep
It's too big to hide 
And it can't be denied
My love is a river running soul deep

I'll work myself to death for you
Just to show I adore you
Nothing I wouldn't do for you

'Cause my love is a river running soul deep
Way down inside me, it's-a soul deep
It's too big to hide 
And it can't be denied
My love is a river running soul deep

All I ever, ever hope to be
Depends on your love for me
Baby, believe me
If you should leave me
I'd be nothing but an empty shell
I know darn well, I can tell, now

I don't know much
But I know I love you so much
My life depends on your touch

And my love is a river running soul deep
Way down inside me, it's-a soul deep
It's too big to hide and it can't be denied
My love is a river running soul deep

My love is a river running soul deep
Way down inside me, it's-a soul deep
My love is a river running soul deep
Way down inside me, it's-a soul deep
Well, my love is a river running soul deep
Way down inside me, it's-a soul deep"
2,TRAAADZ128F9348C2E.h5,Sonora Santanera,Amor De Cabaret,
3,TRAAAEF128F4273421.h5,Adam Ant,Something Girls,"Adam Ant/Marco Pirroni
Every girl is a something girl
Every girl is a something girl
Every girl is a something girl
She's got something
Every girl is a something girl
Every girl has a somehing smile
Every girl is a something girl
For a while
If I had three wishes I know mine
I would not ask the stars to shine
I wouldn't ask for gems or pearls
I'd ask for the something girls
Every girl is a something girl
From the whites of her eyes
To the tip of a curl
Every girl sends a something boy
With that something
When this old world won't treat you right
You're not feeling yourself tonight
Think of someone you can do
Relax and let that something through
Every girl is a something girl
She's got she's got something"
4,TRAHXZJ128F930C784.h5,Seamus Egan,McDermott's Fancy / Swans Among The Rushes / Chicago / The Swallow's Nest - (jig),
5,TRAHYDH128F9325200.h5,Bumblefoot,Piranha,"I'm on a sinking ship surrounded by piranha
I can sink or swim but either way I'm a goner
Piranhas in the ocean and the sky and in my bed
Piranhas keep on biting till they get inside my head

And everyone wants to take a little bite
Till they're suckin' on my bones, they're scrapin' at my life
I can sink or swim but either way I'm a goner
I'm on a sinking ship and surrounded by piranha
And we drop down, just a little more down

I see them all around - just a-waitin' and a-watchin'
I see it in their eyes as the floor keeps droppin'
I ain't gonna win but I won't go without a fight
Alone on a ship in a race against time
And it's runnin' out"
6,TRAHYFB128F4280BB8.h5,Bukka White,Fixin' To Die Blues,"Feeling funny in my mind, Lord
I believe I'm fixing to die
Feeling funny in my mind, Lord
I believe I'm fixing to die

Well, I don't mind dying
But I hate to leave my children crying

Well, I look over yonder to that burying ground
Look over yonder to that burying ground
Sure seems lonesome, Lord
When the sun goes down

Feeling funny in my eyes, Lord
I believe I'm fixing to die, fixing to die
Feeling funny in my eyes, Lord
I believe I'm fixing to die

Well, I don't mind dying but
I hate to leave my children crying

Well there's a black smoke rising, Lord
It's rising up above my head, up above my head
Well there's a black smoke rising, Lord
It's rising up above my head
And tell Jesus make up my dying bed

I'm walking kind of funny, Lord
I believe I'm fixing to die, fixing to die
Yes I'm walking kind of funny, Lord
I believe I'm fixing to die, fixing to die, fixing to die

Well, I don't mind dying
But I hate to leave my children crying"
7,TRAHYFE128F4273577.h5,Foxy Brown / Total,I Can't,
8,TRAHYHQ12903C9D013.h5,:Blacks On :Blondes,Sublime Control,
9,TRAHYLE128F1494718.h5,David Gilmour Featuring Richard Wright,Arnold Layne,
