file,artist,title,lyrics,year,mood
TRBGASN128F427BF8F.h5,Jennifer Lopez,I'm Glad,"Baby, when I think about...
The day that we first met 
(The day that we first met)
Wasn't lookin' for what I found
But I found you and I'm bound to
Find happiness in bein' around you

I'm glad when I'm makin' love to you
I'm glad for the way you make me feel
I love it 'cause you seem to blow my mind
Every time
I'm glad when you walk you hold my hand
I'm happy that you know how to be a man
I'm glad that you came into my life
I'm so glad

I dig the way that you get down 
(You get down, thugged out)
And you still know how to hold me 
(And you still know how to hold me)
Perfect blend, masculine 
(Can't get enough now)
I think I'm in love
Damn, finally

I'm glad when I'm makin' love to you
I'm glad for the way you make me feel
I love it 'cause you seem to blow my mind
Every time
I'm glad when you walk you hold my hand
I'm happy that you know how to be a man
I'm glad that you came into my life
I'm so glad

I'm glad that you turned out to be
That certain someone special who makes this life worth living
I'm glad you're here, just lovin' me
So say that you won't leave
'Cause since the day you came
I've been glad

I'm glad when I'm makin' love to you
I'm glad for the way you make me feel
I love it 'cause you seem to blow my mind
Every time
I'm glad when you walk you hold my hand
I'm happy that you know how to be a man
I'm glad that you came into my life
I'm so glad",2002,1
TRBGEUJ128F42B06B8.h5,Sandi Thom,I Wish I Was A Punk Rocker (With Flowers In My Hair),"Oh, I wish I was a punk rocker with flowers in my hair
In '77 and '69, revolution was in the air
I was born too late into a world that doesn't care
Oh, I wish I was a punk rocker with flowers in my hair

When the head of state didn't play guitar
Not everybody drove a car
When music really mattered and when radio was king
When accountants didn't have control
And the media couldn't buy your soul
And computers were still scary and we didn't know everything

Oh, I wish I was a punk rocker with flowers in my hair
In '77 and '69, revolution was in the air
I was born too late into a world that doesn't care
Oh, I wish I was a punk rocker with flowers in my hair

When pop stars still remained a myth
And ignorance could still be bliss
And when God Save the Queen she turned a whiter shade of pale
When my mom and dad were in their teens
And anarchy was still a dream
And the only way to stay in touch was a letter in the mail

Oh, I wish I was a punk rocker with flowers in my hair
In '77 and '69, revolution was in the air
I was born too late into a world that doesn't care
Oh, I wish I was a punk rocker with flowers in my hair

When record shops were still on top
And vinyl was all that they stocked
And the super info-highway was still drifting out in space
Kids were wearing hand-me-downs
And playing games meant kick arounds
And footballers still had long hair and dirt across their face

Oh, I wish I was a punk rocker with flowers in my hair
In '77 and '69, revolution was in the air
I was born too late into a world that doesn't care
Oh, I wish I was a punk rocker with flowers in my hair
I was born too late into a world that doesn't care
Oh, I wish I was a punk rocker with flowers in my hair",2006,1
TRBGNCL128F428F56F.h5,Gwen Stefani,4 In The Morning,"Waking up to find another day
The moon got lost again last night
But now the sun has finally had its say
I guess I feel alright

But it hurts when I think
When I let it sink in
It's all over me
I'm lying here in the dark
I'm watching you sleep, it hurts a lot

And all I know is
You've got to give me everything
Nothing less 'cause
You know I give you all of me

I give you everything that I am
I'm handin' over everything that I've got
'Cause I wanna have a really true love
Don't ever wanna have to go and give you up

Stay up till four in the morning and the tears are pouring
And I want to make it worth the fight
What have we been doing for all this time?
Baby, if we're gonna do it, come on, do it right

All I wanted was to know I'm safe
Don't wanna lose the love I've found
Remember when you said that you would change
Don't let me down
It's not fair how you are
I can't be complete, can you give me more?

And all I know is
You've got to give me everything
Nothing less 'cause
You know I give you all of me

I give you everything that I am
I'm handin' over everything that I've got
'Cause I wanna have a really true love
Don't ever wanna have to go and give you up

Stay up till four in the morning and the tears are pouring
And I want to make it worth the fight
What have we been doing for all this time?
Baby, if we're gonna do it, come on, do it right

Oh, please, you know what I need
Save all your lovin' for me
We can't escape the love
Give me everything that you have

And all I know is
You've got to give me everything
Nothing less 'cause
You know I give you all of me

I give you everything that I am
I'm handin' over everything that I've got
'Cause I wanna have a really true love
Don't ever wanna have to go and give you up

Stay up till four in the morning and the tears are pouring
And I want to make it worth the fight
What have we been doing for all this time?
Baby, if we're gonna do it, come on, do it right

Give you all of me
Give you everything
Give you all of me",2006,0
TRBGRIP128F147FCA6.h5,Phil Collins,Everyday,"I got lost, couldn't find my way
And I guess there's nothing more to say
Love can make you blind, make you act so strange
But I'm here and here I will stay

So everyday I cry (everyday...)
Yes everyday I fall (everyday...)
Do you ever wonder why (everyday...)
Why I love everything about you

But everyday I say I'll try
To make my heart be still
Till then every way there is to cry
Ourselves to sleep we will

It picked me up, knocked me off my feet
I've got no way to explain
Still I love you, love you, love you but this fire inside
Will never see the light of day

So everyday goes by (everyday...)
And everyday I fall (everyday...)
It makes me wonder why (everyday...)
My life's worth nothing without you

But everyday I say I'll try
To make my heart be still
'Cause every way there is to cry,
Ourselves to sleep, we will

You'll never know, no, no, no, no, no
You'll never know just how close we were
You'll never know, no, no, no, no, no
You'll never know
No you'll never see

The book closes and we try to forget
But I know that things won't change
How we feel, how life goes on
And that seems so strange

And so the light fades away (everyday...)
Try, try, try as I may (everyday...)
I can't stop thinking about you
It seems my life's worth nothing without you

But everyday I say I'll try
To make my heart be still
Till then every way there is to cry,
Ourselves to sleep, we will

Everyday, everyday you know I try so hard
Everyday, everyday it gets a little harder

(Repeat...)",1993,0
TRBGXQP128F4290B22.h5,Roger Sanchez,Lost,"I saw a picture yesterday,
You know the one, we were laughing in the rain
Remember how it used to be,
Remember when you were still in love with me

But you turned away,
And I start to cry
I'm lost without your love
And I won't survive
Don't leave me alone tonight
I'm lost without your love and I won't survive

I can't believe that we are through
Is it someone else?
Have ya found somebody new?
'Cause I die inside every time I close my eyes
And imagine myself living without you

But you turned away
And I start to cry
I'm lost without your love
And I won't survive
Don't leave me
Alone tonight
I'm lost without your love
And I won't survive",2006,1
TRBGYVK128F426A0D6.h5,Joey Negro,Make A Move On Me,"Come on make a move on me

Come on make a move on me

Come on make a move on me

Come on make a move on me now boy

I've been watching you watching me

What you gonna do?

Let's stop playing these silly games

Do what you gonna do

Oh you gotta

Feel me, heal me chase me chase me

Move me sooth me tease me

Leave me, trim me, grim me

Grill me feel me take me make me

Leave me leave me

Come on make a move on me

Make a move on me

Come on make a move on me

Come on make a move on me

Oh make a move on me

Come on make a move on me now boy

Come on make a move on me

Oh baby

Come on make a move on me

Oh make a move on me

Make a move on me

Come on make a move on me

Make a move on me

Come on make a move

Come on make a move

Come on make a move

Come on make a move

I promise you I won't bite

Unless you want me to

(Unless you want me to baby)

I'll make love to you all through the night

If you want me to

(Ah do you need it?)

Come on and feel me, heel me chase me chase me

Move me sooth me tease me

Leave me, trim me, grim me

Grill me feel me take me make me

Leave me leave me

Come on make a move on me

Come on make a move on me

Baby make a move on me

Come on make a move on me

Come on make a move on me now boy

Right now right now

Come on make a move

Come make a move on me

Come on make a move

Come make a move on me

Come on make a move",2005,1
TRBGZKO128F92DB016.h5,Bloc Party,Zephyrus,"Backwards, forwards but making no ground at all
Standing in the city with the clocks counting one
And your face is still wet from the fight before
As your tears hit the ground, blue flowers spring from them
Baby, I'm ashamed of the things I put you through
Baby, I'm ashamed of the man I was for you

And all you said in your quietest voice
Was, ""I needed you as much as they do""
And all you said in your quietest voice
Was, ""I needed you as much as they do""

How fast must we run before we can just take off in flight?
How far must we run before they do not recognise us?
So let's take this from the start, you'll be me and I'll be you
And let's try not to complain about your smoking
And my distant heart, and my distant heart
And my distant heart

And all you said in your quietest voice
Was, ""I needed you as much as they do""
And all you said in your quietest voice
Was, ""I needed you as much as they do""

(Too many mirrors in this house)
(And I don't like to see myself like this)
(I'm becoming the man I used to be, I guess)
(These walls could tell you a thing or two)
(Things that you really don't want to know)
(Lend me your eyes for your point of view)
(Lend me your feet and I'll stand by you)

And all you said in your quietest voice
Was, ""I needed you as much as they do""
And all you said in your quietest voice
Was, ""I needed you as much as they do""",2008,0
TRBHEHF128F428385A.h5,George Michael,Amazing,"I was a mixed up when you came to me
Too broke to fix, except daddy get your gun
I'm missing my baby,
Still missing my baby

I was a stitched up by the hands of fate
Said how you gonna make it on your own
If luck is a lady,
Maybe luck is a lady

I was going down for the third time
My heart was broken, I was not open to your suggestions
I had so many questions
That you just kissed away

Tell me,
I guess that cupid was in disguise
The day you walked in and changed my life
I think it's amazing
The way that love can you set you free

So now I walk in the midday sun
I never thought that my saviour would come
I think it's amazing
I think it's amazing

I think you're amazing

You tried to save me from myself
Said darling, kiss as many as you want
My love's still available
And I know you're insatiable

We're like victims of the same disease
Look at your big bad daddy and your mom
And your mom, was always acting crazy

I was going down for the third time
My heart was broken,
I though that loving you was out of the question
(Loving you was out of the question)
Then I saw my reflection (reflection)
Saying please don't let this go

Tell me,
I guess that cupid was in disguise
The day you walked in and changed my life
I think it's amazing
The way that love can you set you free

So now I walk in the midday sun
I never thought that my saviour'd come
I think it's amazing
I think you're amazing

(Celebrate the love of the one you're with) x18

Celebrate this life with you baby
I'd think you should celebrate, yeah
Don't put your love in chains, babe
Now I walk in the midday sun
I never thought I would see love
I think it's amazing
I think you're amazing

(I said celebrate the love of the one your're with)
Celebrate!
Celebrate!
As this life gets colder
And the devil inside
Tells you to give up, baby
Now I walk in the midday sun",2004,1
TRBHHUC128F4294C6F.h5,Scott Matthews,City Headache,"City headache subsides your dreary tone
Send a doctor to my house
Got me a fever coming round the bend
A heavy busload of danger

Straight talking you're sending me to bed
'Cause I ain't walking, in my state
A temperature that will not go away
So let it build up in my head

My head...

Prescribed pills just throw them down the sink
Cause in the hills is my cure.
No city headache to knock on my front door
No spewing faces to bug me.

Your output level brings thunder to my ears
A peaking signal from your mouth
Some cleansing water to wash away the grime of city laughter
Off my face.

My face...

It's not for me
The speed in which you walk
Would burn the soles of my feet.
Congested and choking from the fog
Of chain-smoking freak shows
That's how it goes so you just find the road
And pack your bags, for no more...",2006,0
TRBHKXX128F4252D02.h5,Radiohead,Everything In Its Right Place,"Kid A, Kid A
Kid A, Kid A

Everything
Everything
Everything
Everything
In its right place
In its right place
In its right place
In its right place

Yesterday I woke up sucking a lemon
Yesterday I woke up sucking a lemon
Yesterday I woke up sucking a lemon
Yesterday I woke up sucking a lemon

Everything
Everything
Everything
Everything
In its right place
In its right place
In its right place
Right place

There are two colours in my head
There are two colours in my head
What, what is that you tried to say?
What, what was that you tried to say?
Tried to say
Tried to say
Tried to say
Tried to say

Everything
Everything
Everything
Everything",2000,0
